txn_id,posted_at,account_id,currency,amount_minor,type,ref_txn_id,status
T42018_21,2026-02-12T00:02:08Z,A52A,JPY,-21273,CHARGE,,POSTED
T41644_36,2026-02-14T11:16:34Z,A44E,EUR,-7090,REFUND,,POSTED
T42004_39,2026-02-28T19:58:02Z,A45B,EUR,-1170,CHARGE,,POSTED
R66188_T35903_24,2026-03-01T20:27:32Z,A44E,USD,-854,REVERSAL,T35903_24,POSTED
T52537_6,2026-02-26T12:43:29Z,A27C,GBP,-12210,CHARGE,,POSTED
T22604_18,2026-02-27T12:38:03Z,A44E,EUR,20600,ADJUSTMENT,,POSTED
R19857_T44060_38,2026-02-12T03:21:28Z,A44E,EUR,76,REVERSAL,T44060_38,POSTED
T99626_15,2026-02-19T04:31:05Z,A27C,USD,-1390,REFUND,,POSTED
T52537_6,2026-02-25T13:10:29Z,A27C,GBP,-16026,CHARGE,,POSTED
R65652_T49624_11_DUP,2026-02-27T08:07:46Z,A27C,JPY,-3602,REVERSAL,T49624_11,POSTED
T83173_0,2026-02-27T16:35:15Z,A52A,GBP,11320,ADJUSTMENT,,POSTED
T60955_19,2026-02-27T03:46:56Z,A52A,GBP,15890,REFUND,,POSTED
T84970_10,2026-02-24T09:58:11Z,A27C,EUR,-17440,CHARGE,,POSTED
T93800_31,2026-02-24T10:12:48Z,A63D,USD,19300,PAYMENT,,POSTED
T68492_17,2026-02-09T14:53:43Z,A45B,GBP,-3740,PAYMENT,,POSTED
R78283_T30566_28_DUP,2026-03-04T02:54:51Z,A63D,EUR,-1545,REVERSAL,T30566_28,POSTED
T44060_38,2026-02-25T07:51:27Z,A63D,EUR,-760,REFUND,,POSTED
T26608_9,2026-02-25T03:52:16Z,A27C,JPY,-15640,PAYMENT,,POSTED
T49679_26,2026-02-28T22:52:53Z,A45B,USD,6620,PAYMENT,,POSTED
T15192_34,2026-02-16T00:15:35Z,A45B,USD,2680,PAYMENT,,VOID
T30566_28,2026-02-23T11:45:45Z,A27C,EUR,840,CHARGE,,POSTED
T85384_30,2026-02-24T15:31:31Z,A63D,EUR,25873,CHARGE,,POSTED
T60479_35,2026-02-25T08:43:13Z,A63D,GBP,3548,PAYMENT,,POSTED
T46385_16,2026-02-14T14:34:22Z,A44E,USD,14650,CHARGE,,POSTED
T36269_32,2026-02-08T21:54:22Z,A44E,USD,-11340,CHARGE,,POSTED
R98347_T63633_5,2026-02-27T09:10:32Z,A44E,EUR,4506,REVERSAL,T63633_5,POSTED
T63422_22,2026-03-04T17:23:09Z,A44E,GBP,-19360,REFUND,,POSTED
R45868_T57887_4,2026-02-11T06:25:12Z,A45B,USD,1501,REVERSAL,T57887_4,POSTED
T75096_1,2026-03-03T09:48:46Z,A44E,USD,-8516,CHARGE,,VOID
R86226_T59065_12,2026-02-26T15:38:30Z,A44E,JPY,-4842,REVERSAL,T59065_12,POSTED
R12748_T30566_28,2026-03-03T11:54:51Z,A45B,JPY,-4144,REVERSAL,T30566_28,POSTED
T30673_14,2026-03-03T22:36:16Z,A27C,GBP,-13770,PAYMENT,,POSTED
T82792_7,2026-02-20T04:19:28Z,A52A,GBP,-13090,ADJUSTMENT,,POSTED
T61701_29,2026-02-18T23:51:44Z,A52A,GBP,2110,CHARGE,,POSTED
T81862_23,2026-02-27T03:31:11Z,A27C,USD,1850,PAYMENT,,POSTED
T93800_31,2026-02-23T10:37:48Z,A63D,USD,17792,PAYMENT,,POSTED
T21603_8,2026-02-14T17:18:25Z,A63D,JPY,641,PAYMENT,,POSTED
R64445_MISSING,2026-02-13T17:00:00Z,A52A,EUR,4311,REVERSAL,T_MISSING_246,POSTED
T18946_3,2026-02-19T02:32:16Z,A44E,GBP,-2010,CHARGE,,POSTED
T10394_20,2026-02-23T06:21:29Z,A63D,GBP,-21970,CHARGE,,POSTED
T81862_23,2026-02-27T05:52:11Z,A27C,USD,5647,PAYMENT,,POSTED
T14099_37,2026-02-21T04:54:39Z,A63D,USD,4900,PAYMENT,,POSTED
R53216_T44060_38_DUP,2026-02-12T21:21:28Z,A44E,JPY,-1127,REVERSAL,T44060_38,POSTED
