date,currency,usd_per_unit
2026-01-15,EUR,1.066678
2026-01-17,EUR,1.014546
2026-01-20,EUR,0.987801
2026-01-21,EUR,1.022209
2026-01-27,EUR,1.025317
2026-01-29,EUR,0.954117
2026-01-31,EUR,1.050295
2026-02-02,EUR,0.998378
2026-02-03,EUR,0.991262
2026-02-04,EUR,0.984398
2026-01-16,GBP,1.321954
2026-01-21,GBP,1.203216
2026-01-22,GBP,1.193477
2026-01-23,GBP,1.298424
2026-01-26,GBP,1.186992
2026-01-31,GBP,1.264179
2026-02-01,GBP,1.264718
2026-02-05,GBP,1.242245
2026-01-17,JPY,0.006266
2026-01-18,JPY,0.006176
2026-01-24,JPY,0.006799
2026-01-31,JPY,0.007061
2026-02-04,JPY,0.009707
2026-02-07,JPY,0.008633
2026-01-25,USD,1.000000
2026-01-28,USD,1.000000
2026-01-29,USD,1.000000
2026-01-31,USD,1.000000
2026-02-04,USD,1.000000
2026-02-05,USD,1.000000
