txn_id,posted_at,account_id,currency,amount_minor,type,ref_txn_id,status
R44874_T76328_6,2026-01-25T21:55:52Z,A38A,EUR,2562,REVERSAL,T76328_6,POSTED
R76071_T76328_6_DUP,2026-01-27T10:55:52Z,A80J,USD,2041,REVERSAL,T76328_6,POSTED
R55177_T73335_16,2026-02-07T20:41:06Z,A23C,JPY,-1501,REVERSAL,T73335_16,POSTED
T73245_19,2026-01-16T11:20:07Z,A27E,EUR,-23060,REFUND,,POSTED
T17225_36,2026-01-14T07:34:48Z,A90F,USD,14270,ADJUSTMENT,,POSTED
T75022_24,2026-01-14T07:45:12Z,A70I,USD,19390,REFUND,,POSTED
T92350_32,2026-02-04T04:34:02Z,A80J,EUR,9950,REFUND,,POSTED
T39655_8,2026-02-05T01:51:11Z,A27E,GBP,-8610,PAYMENT,,POSTED
R69952_T72797_13_DUP,2026-02-06T03:24:34Z,A80J,EUR,-34,REVERSAL,T72797_13,POSTED
T29104_25,2026-01-21T21:52:27Z,A85H,JPY,-11878,CHARGE,,POSTED
T61466_28,2026-01-29T23:36:31Z,A90F,EUR,1150,ADJUSTMENT,,POSTED
T97466_20,2026-01-14T21:09:55Z,A30B,USD,22210,PAYMENT,,POSTED
R78097_T50730_14,2026-01-27T18:48:48Z,A23C,USD,1212,REVERSAL,T50730_14,POSTED
T17225_36,2026-01-15T19:37:48Z,A90F,USD,18932,ADJUSTMENT,,POSTED
T33414_3,2026-01-18T15:27:16Z,A30B,USD,-7680,CHARGE,,POSTED
T90209_2,2026-02-07T02:43:21Z,A97G,JPY,8030,CHARGE,,VOID
T25541_4,2026-01-27T11:30:03Z,A27E,EUR,14790,PAYMENT,,POSTED
T84298_1,2026-02-01T06:20:39Z,A90F,JPY,-3394,CHARGE,,POSTED
R82194_T29104_25,2026-01-26T11:11:41Z,A25D,USD,-778,REVERSAL,T29104_25,POSTED
T50730_14,2026-01-30T15:38:32Z,A97G,JPY,6100,ADJUSTMENT,,POSTED
T85095_35,2026-02-05T21:27:30Z,A70I,EUR,15293,PAYMENT,,POSTED
T20983_9,2026-02-03T05:58:09Z,A85H,EUR,1990,ADJUSTMENT,,POSTED
R53285_T72797_13,2026-02-05T16:24:34Z,A80J,USD,588,REVERSAL,T72797_13,POSTED
T99091_26,2026-02-04T10:22:16Z,A23C,GBP,-23920,ADJUSTMENT,,POSTED
T74043_22,2026-01-18T13:19:28Z,A90F,GBP,-21540,REFUND,,POSTED
T45871_27,2026-01-26T00:24:49Z,A97G,EUR,-8810,REFUND,,POSTED
T11072_0,2026-01-24T09:19:32Z,A70I,JPY,5176,REFUND,,POSTED
T94283_34,2026-02-04T15:03:25Z,A30B,USD,-10310,PAYMENT,,VOID
T73335_16,2026-01-18T10:25:15Z,A90F,GBP,-9840,PAYMENT,,POSTED
R71628_MISSING,2026-02-05T15:00:00Z,A80J,EUR,4663,REVERSAL,T_MISSING_242,POSTED
T84298_1,2026-01-31T06:30:39Z,A90F,JPY,663,CHARGE,,POSTED
R67479_T67561_21,2026-01-23T09:28:43Z,A80J,EUR,-4155,REVERSAL,T67561_21,POSTED
T28438_29,2026-01-15T11:49:46Z,A97G,EUR,8190,ADJUSTMENT,,POSTED
T76328_6,2026-01-25T21:25:30Z,A27E,EUR,-5807,PAYMENT,,POSTED
T86498_10,2026-01-21T11:27:31Z,A23C,JPY,19043,REFUND,,VOID
T77879_31,2026-01-14T06:46:22Z,A70I,GBP,-15450,REFUND,,POSTED
T78504_33,2026-01-23T01:44:32Z,A23C,EUR,-14460,CHARGE,,VOID
T76328_6,2026-01-24T09:08:30Z,A27E,EUR,-9950,PAYMENT,,POSTED
R46544_T90209_2,2026-02-03T07:08:00Z,A23C,GBP,1675,REVERSAL,T90209_2,POSTED
T90209_2,2026-02-06T02:56:21Z,A97G,JPY,4755,CHARGE,,VOID
T67561_21,2026-01-28T16:15:49Z,A30B,JPY,4789,PAYMENT,,POSTED
T90209_2,2026-02-06T14:36:21Z,A97G,JPY,5984,CHARGE,,VOID
R70479_T75022_24,2026-02-01T01:43:28Z,A25D,JPY,4772,REVERSAL,T75022_24,POSTED
R34929_T90209_2_DUP,2026-02-04T12:08:00Z,A23C,GBP,-1038,REVERSAL,T90209_2,POSTED
T55285_17,2026-01-27T00:40:01Z,A90F,EUR,24880,CHARGE,,POSTED
T49813_18,2026-01-22T09:38:32Z,A25D,GBP,17500,PAYMENT,,POSTED
T27645_7,2026-01-18T00:28:21Z,A30B,JPY,11736,PAYMENT,,POSTED
R78500_T20983_9,2026-02-06T15:26:28Z,A30B,JPY,3405,REVERSAL,T20983_9,POSTED
R58499_T55285_17,2026-01-20T07:03:23Z,A80J,JPY,-2144,REVERSAL,T55285_17,POSTED
T85095_35,2026-02-05T09:06:30Z,A70I,EUR,17560,PAYMENT,,POSTED
T85095_35,2026-02-04T21:40:30Z,A70I,EUR,13471,PAYMENT,,POSTED
T96759_5,2026-01-16T07:38:49Z,A80J,EUR,18200,ADJUSTMENT,,POSTED
T83478_15,2026-02-07T22:15:05Z,A23C,USD,-11810,REFUND,,POSTED
T64015_11,2026-02-04T13:38:31Z,A97G,EUR,-8860,CHARGE,,POSTED
T72797_13,2026-02-05T07:54:01Z,A38A,GBP,-20650,PAYMENT,,POSTED
T11342_12,2026-01-22T21:39:52Z,A90F,GBP,-7400,PAYMENT,,POSTED
T42815_23,2026-02-06T03:36:43Z,A30B,GBP,6490,CHARGE,,POSTED
