date,currency,usd_per_unit
2026-02-08,EUR,1.102482
2026-02-09,EUR,1.044475
2026-02-11,EUR,0.985719
2026-02-19,EUR,1.004353
2026-02-20,EUR,0.980690
2026-02-22,EUR,1.116506
2026-02-26,EUR,1.013883
2026-02-06,GBP,1.298652
2026-02-07,GBP,1.151874
2026-02-14,GBP,1.152888
2026-02-21,GBP,1.332545
2026-02-22,GBP,1.368220
2026-02-24,GBP,1.339830
2026-03-01,GBP,1.306483
2026-02-05,JPY,0.006826
2026-02-08,JPY,0.010492
2026-02-09,JPY,0.008813
2026-02-11,JPY,0.006708
2026-02-15,JPY,0.008286
2026-02-16,JPY,0.008946
2026-02-17,JPY,0.007833
2026-02-22,JPY,0.008532
2026-02-09,USD,1.000000
2026-02-11,USD,1.000000
2026-02-13,USD,1.000000
2026-02-14,USD,1.000000
2026-02-22,USD,1.000000
2026-02-25,USD,1.000000
2026-02-28,USD,1.000000
2026-03-01,USD,1.000000
2026-03-02,USD,1.000000
