date,currency,usd_per_unit
2026-01-18,EUR,1.068259
2026-01-22,EUR,1.019400
2026-01-23,EUR,0.962389
2026-01-25,EUR,1.076430
2026-01-27,EUR,1.121368
2026-01-29,EUR,1.149030
2026-02-02,EUR,1.149770
2026-02-07,EUR,0.988532
2026-01-16,GBP,1.164287
2026-01-18,GBP,1.220674
2026-01-26,GBP,1.362041
2026-01-28,GBP,1.358871
2026-02-04,GBP,1.341122
2026-01-17,JPY,0.008379
2026-01-19,JPY,0.009761
2026-01-24,JPY,0.007461
2026-01-29,JPY,0.008025
2026-02-06,JPY,0.006981
2026-01-16,USD,1.000000
2026-01-18,USD,1.000000
2026-01-22,USD,1.000000
2026-01-26,USD,1.000000
2026-02-01,USD,1.000000
2026-02-04,USD,1.000000
2026-02-05,USD,1.000000
