date,currency,usd_per_unit
2026-01-23,EUR,1.128681
2026-01-26,EUR,0.995757
2026-01-28,EUR,1.004820
2026-02-03,EUR,1.088727
2026-02-08,EUR,1.128344
2026-01-18,GBP,1.359645
2026-01-22,GBP,1.346279
2026-01-26,GBP,1.361601
2026-01-29,GBP,1.288283
2026-01-30,GBP,1.270909
2026-02-06,GBP,1.262609
2026-02-07,GBP,1.236680
2026-01-23,JPY,0.007270
2026-01-25,JPY,0.006316
2026-02-04,JPY,0.007603
2026-02-07,JPY,0.008985
2026-02-11,JPY,0.006624
2026-01-18,USD,1.000000
2026-01-22,USD,1.000000
2026-01-31,USD,1.000000
2026-02-01,USD,1.000000
2026-02-06,USD,1.000000
2026-02-07,USD,1.000000
