date,currency,usd_per_unit
2026-03-03,EUR,1.096770
2026-03-07,EUR,1.131407
2026-03-09,EUR,1.148496
2026-03-11,EUR,1.058006
2026-03-12,EUR,1.040959
2026-03-14,EUR,0.966786
2026-03-02,GBP,1.206924
2026-03-05,GBP,1.348957
2026-03-09,GBP,1.183608
2026-03-11,GBP,1.357164
2026-03-20,GBP,1.291108
2026-03-21,GBP,1.179380
2026-03-02,JPY,0.007346
2026-03-08,JPY,0.006860
2026-03-12,JPY,0.007415
2026-03-17,JPY,0.009648
2026-03-21,JPY,0.007194
2026-03-22,JPY,0.009455
2026-02-28,USD,1.000000
2026-03-07,USD,1.000000
2026-03-10,USD,1.000000
2026-03-13,USD,1.000000
2026-03-14,USD,1.000000
2026-03-20,USD,1.000000
2026-03-24,USD,1.000000
