date,currency,usd_per_unit
2026-03-16,EUR,1.130415
2026-03-20,EUR,0.975054
2026-03-22,EUR,0.983389
2026-03-23,EUR,0.974236
2026-03-25,EUR,0.982514
2026-03-26,EUR,1.077047
2026-04-03,EUR,1.103401
2026-04-05,EUR,1.007992
2026-03-12,GBP,1.341028
2026-03-13,GBP,1.352980
2026-03-19,GBP,1.334755
2026-03-26,GBP,1.186798
2026-03-12,JPY,0.008335
2026-03-18,JPY,0.007202
2026-03-20,JPY,0.008869
2026-03-29,JPY,0.006978
2026-03-31,JPY,0.006978
2026-04-03,JPY,0.009828
2026-04-04,JPY,0.008924
2026-04-06,JPY,0.008553
2026-03-14,USD,1.000000
2026-03-16,USD,1.000000
2026-03-23,USD,1.000000
2026-03-24,USD,1.000000
2026-03-28,USD,1.000000
2026-04-01,USD,1.000000
2026-04-03,USD,1.000000
2026-04-04,USD,1.000000
2026-04-05,USD,1.000000
