date,currency,usd_per_unit
2026-01-13,EUR,1.108666
2026-01-20,EUR,1.085192
2026-01-21,EUR,0.977446
2026-02-04,EUR,0.965010
2026-02-06,EUR,1.015685
2026-01-21,GBP,1.394381
2026-01-22,GBP,1.247414
2026-01-25,GBP,1.240712
2026-01-30,GBP,1.308345
2026-02-02,GBP,1.280465
2026-02-06,GBP,1.315518
2026-01-13,JPY,0.009504
2026-01-15,JPY,0.007254
2026-01-19,JPY,0.009000
2026-01-20,JPY,0.010087
2026-01-24,JPY,0.008765
2026-01-30,JPY,0.006403
2026-01-14,USD,1.000000
2026-01-17,USD,1.000000
2026-01-20,USD,1.000000
2026-01-22,USD,1.000000
2026-01-28,USD,1.000000
2026-01-30,USD,1.000000
2026-01-31,USD,1.000000
