date,currency,usd_per_unit
2026-03-14,EUR,1.147072
2026-03-20,EUR,0.984934
2026-03-27,EUR,1.030959
2026-03-29,EUR,0.976240
2026-03-31,EUR,1.073399
2026-04-02,EUR,1.137641
2026-03-12,GBP,1.354058
2026-03-13,GBP,1.176788
2026-03-22,GBP,1.287629
2026-03-23,GBP,1.360420
2026-03-24,GBP,1.211526
2026-03-25,GBP,1.239984
2026-03-27,GBP,1.165932
2026-03-29,GBP,1.235683
2026-03-12,JPY,0.006634
2026-03-18,JPY,0.009660
2026-03-20,JPY,0.007227
2026-03-22,JPY,0.006363
2026-03-26,JPY,0.008311
2026-03-31,JPY,0.010382
2026-04-01,JPY,0.007113
2026-04-05,JPY,0.006813
2026-03-11,USD,1.000000
2026-03-15,USD,1.000000
2026-03-25,USD,1.000000
2026-03-29,USD,1.000000
2026-04-05,USD,1.000000
