date,currency,usd_per_unit
2026-03-09,EUR,1.097469
2026-03-10,EUR,0.988620
2026-03-12,EUR,1.069329
2026-03-18,EUR,1.039121
2026-03-27,EUR,1.073914
2026-03-28,EUR,0.974327
2026-03-09,GBP,1.273278
2026-03-16,GBP,1.241428
2026-03-18,GBP,1.274996
2026-03-24,GBP,1.295100
2026-03-25,GBP,1.391126
2026-03-29,GBP,1.371254
2026-04-03,GBP,1.208240
2026-03-15,JPY,0.007134
2026-03-20,JPY,0.006744
2026-03-30,JPY,0.007046
2026-04-02,JPY,0.010199
2026-03-13,USD,1.000000
2026-03-20,USD,1.000000
2026-03-26,USD,1.000000
2026-03-29,USD,1.000000
2026-04-01,USD,1.000000
2026-04-03,USD,1.000000
