date,currency,usd_per_unit
2026-02-21,EUR,1.098421
2026-02-22,EUR,0.974250
2026-02-24,EUR,1.090059
2026-02-27,EUR,1.099452
2026-02-28,EUR,1.009854
2026-03-04,EUR,1.044759
2026-03-08,EUR,1.100197
2026-03-11,EUR,1.147917
2026-03-14,EUR,1.009784
2026-03-18,EUR,1.053854
2026-02-25,GBP,1.300898
2026-03-02,GBP,1.202779
2026-03-03,GBP,1.337502
2026-03-04,GBP,1.310544
2026-03-05,GBP,1.334147
2026-03-08,GBP,1.275995
2026-03-12,GBP,1.159889
2026-03-18,GBP,1.324761
2026-02-21,JPY,0.008345
2026-02-28,JPY,0.009343
2026-03-02,JPY,0.009276
2026-03-05,JPY,0.009854
2026-03-07,JPY,0.007463
2026-03-12,JPY,0.006734
2026-03-13,JPY,0.007120
2026-03-15,JPY,0.010422
2026-02-22,USD,1.000000
2026-02-23,USD,1.000000
2026-03-02,USD,1.000000
2026-03-07,USD,1.000000
2026-03-09,USD,1.000000
2026-03-14,USD,1.000000
2026-03-17,USD,1.000000
