txn_id,posted_at,account_id,currency,amount_minor,type,ref_txn_id,status
T32266_34,2026-02-17T20:11:45Z,A64C,EUR,-560,PAYMENT,,POSTED
R73114_T60065_15,2026-02-10T05:38:46Z,A64J,EUR,2160,REVERSAL,T60065_15,POSTED
R34819_MISSING,2026-02-02T23:00:00Z,A49A,JPY,3667,REVERSAL,T_MISSING_293,POSTED
R78141_T78880_21_DUP,2026-01-26T07:33:06Z,A57B,GBP,2060,REVERSAL,T78880_21,POSTED
T58266_31,2026-02-03T07:59:04Z,A60K,USD,21970,PAYMENT,,POSTED
T54590_8,2026-01-29T17:28:05Z,A64C,EUR,-17230,CHARGE,,POSTED
T27176_20,2026-01-29T06:12:14Z,A71E,USD,24550,ADJUSTMENT,,POSTED
T19111_23,2026-02-19T21:59:07Z,A68D,GBP,-21973,REFUND,,POSTED
T11700_22,2026-02-01T01:10:41Z,A64J,GBP,16610,REFUND,,POSTED
T31334_3,2026-02-04T11:42:02Z,A12G,EUR,-19880,PAYMENT,,POSTED
R11448_T65551_6_DUP,2026-02-02T21:57:43Z,A68D,EUR,1467,REVERSAL,T65551_6,POSTED
T27579_24,2026-02-17T11:29:51Z,A57B,GBP,15730,PAYMENT,,POSTED
R41866_T76571_18,2026-01-30T02:33:04Z,A49A,JPY,1464,REVERSAL,T76571_18,POSTED
R45422_T58266_31,2026-02-14T05:14:17Z,A60K,JPY,1269,REVERSAL,T58266_31,POSTED
T53021_5,2026-02-11T14:13:25Z,A68D,GBP,-4280,CHARGE,,VOID
R97795_T76571_18_DUP,2026-01-30T11:33:04Z,A64C,GBP,-2507,REVERSAL,T76571_18,POSTED
R92375_MISSING,2026-02-02T08:00:00Z,A48I,GBP,685,REVERSAL,T_MISSING_895,POSTED
T63011_29,2026-02-03T19:56:52Z,A64J,EUR,24880,ADJUSTMENT,,VOID
T76571_18,2026-02-04T02:03:07Z,A67H,USD,2260,PAYMENT,,VOID
T19111_23,2026-02-18T09:38:07Z,A68D,GBP,-20090,REFUND,,POSTED
T35062_14,2026-02-05T17:40:48Z,A60K,USD,-10450,REFUND,,POSTED
T97105_4,2026-02-12T16:14:13Z,A12G,EUR,8650,PAYMENT,,POSTED
T87224_2,2026-02-11T10:37:58Z,A64J,EUR,12110,ADJUSTMENT,,POSTED
T88811_0,2026-02-15T02:41:02Z,A60K,EUR,9140,CHARGE,,POSTED
T88811_0,2026-02-13T02:46:02Z,A60K,EUR,8084,CHARGE,,POSTED
