date,currency,usd_per_unit
2026-01-31,EUR,1.068680
2026-02-04,EUR,0.977340
2026-02-05,EUR,1.037036
2026-02-10,EUR,1.015482
2026-02-11,EUR,0.969046
2026-02-14,EUR,0.961021
2026-02-15,EUR,1.017118
2026-02-18,EUR,1.085412
2026-01-25,GBP,1.230841
2026-01-26,GBP,1.235404
2026-01-28,GBP,1.230876
2026-01-31,GBP,1.224646
2026-02-04,GBP,1.259977
2026-02-06,GBP,1.389735
2026-02-08,GBP,1.239315
2026-02-10,GBP,1.218428
2026-02-19,GBP,1.159957
2026-01-25,JPY,0.007131
2026-01-26,JPY,0.007273
2026-01-29,JPY,0.009922
2026-01-30,JPY,0.010072
2026-02-02,JPY,0.008382
2026-02-05,JPY,0.008991
2026-02-09,JPY,0.007301
2026-02-13,JPY,0.010098
2026-01-26,USD,1.000000
2026-01-28,USD,1.000000
2026-02-02,USD,1.000000
2026-02-05,USD,1.000000
2026-02-08,USD,1.000000
2026-02-11,USD,1.000000
2026-02-15,USD,1.000000
