date,currency,usd_per_unit
2026-01-12,EUR,1.083495
2026-01-21,EUR,1.040785
2026-01-23,EUR,0.968122
2026-01-27,EUR,0.963140
2026-02-04,EUR,0.967225
2026-02-06,EUR,1.033857
2026-01-12,GBP,1.175499
2026-01-13,GBP,1.360097
2026-01-22,GBP,1.215569
2026-01-23,GBP,1.171075
2026-01-31,GBP,1.254659
2026-02-01,GBP,1.378369
2026-02-05,GBP,1.273535
2026-02-06,GBP,1.318525
2026-01-17,JPY,0.008960
2026-01-20,JPY,0.009735
2026-01-21,JPY,0.009158
2026-01-22,JPY,0.009921
2026-01-24,JPY,0.008612
2026-01-25,JPY,0.008879
2026-01-26,JPY,0.009740
2026-01-30,JPY,0.008541
2026-02-01,JPY,0.007707
2026-02-03,JPY,0.009691
2026-01-16,USD,1.000000
2026-01-17,USD,1.000000
2026-01-19,USD,1.000000
2026-01-23,USD,1.000000
2026-01-24,USD,1.000000
2026-01-31,USD,1.000000
2026-02-02,USD,1.000000
2026-02-04,USD,1.000000
2026-02-06,USD,1.000000
