date,currency,usd_per_unit
2026-02-23,EUR,1.027905
2026-02-24,EUR,1.013185
2026-03-01,EUR,1.135766
2026-03-03,EUR,1.100010
2026-03-05,EUR,1.080438
2026-03-07,EUR,1.142267
2026-03-09,EUR,1.075280
2026-03-10,EUR,1.074340
2026-03-13,EUR,1.059142
2026-02-22,GBP,1.261502
2026-02-25,GBP,1.257583
2026-02-27,GBP,1.288573
2026-03-07,GBP,1.330420
2026-03-12,GBP,1.354070
2026-03-13,GBP,1.180370
2026-03-15,GBP,1.301963
2026-03-16,GBP,1.204563
2026-02-23,JPY,0.007842
2026-02-25,JPY,0.010350
2026-02-27,JPY,0.009280
2026-02-28,JPY,0.006458
2026-03-06,JPY,0.006975
2026-03-07,JPY,0.008582
2026-03-09,JPY,0.010208
2026-03-14,JPY,0.009817
2026-02-26,USD,1.000000
2026-02-27,USD,1.000000
2026-02-28,USD,1.000000
2026-03-08,USD,1.000000
2026-03-11,USD,1.000000
2026-03-15,USD,1.000000
2026-03-17,USD,1.000000
