txn_id,posted_at,account_id,currency,amount_minor,type,ref_txn_id,status
R40330_T17711_23,2026-03-14T08:50:41Z,A70E,USD,4417,REVERSAL,T17711_23,POSTED
T43117_26,2026-03-05T01:37:57Z,A12G,JPY,-18407,ADJUSTMENT,,VOID
T23005_10,2026-03-15T11:23:42Z,A70C,EUR,3480,PAYMENT,,POSTED
T57131_14,2026-03-10T13:32:07Z,A12G,JPY,12069,PAYMENT,,POSTED
T71475_20,2026-03-09T17:52:28Z,A41D,GBP,-23640,CHARGE,,POSTED
T55252_17,2026-03-06T13:29:21Z,A12G,EUR,3850,CHARGE,,POSTED
T77985_30,2026-03-16T16:20:28Z,A70E,EUR,-15400,PAYMENT,,POSTED
T42478_27,2026-03-11T10:46:43Z,A12G,GBP,-11830,PAYMENT,,POSTED
T17711_23,2026-03-02T04:56:08Z,A74F,GBP,12830,ADJUSTMENT,,POSTED
T11424_12,2026-02-24T02:47:30Z,A70C,USD,-3526,CHARGE,,VOID
T83102_8,2026-03-18T04:11:09Z,A12G,USD,13530,CHARGE,,POSTED
T90724_22,2026-03-07T23:36:01Z,A74F,EUR,2700,REFUND,,POSTED
T43194_21,2026-03-05T10:20:09Z,A74F,USD,10820,CHARGE,,POSTED
T76296_29,2026-03-08T00:45:41Z,A72B,EUR,-15800,CHARGE,,POSTED
T55252_17,2026-03-08T13:23:21Z,A12G,EUR,8840,CHARGE,,POSTED
T55003_1,2026-03-08T01:43:19Z,A41D,USD,-640,ADJUSTMENT,,POSTED
T15435_7,2026-03-05T09:12:45Z,A41D,GBP,-24830,PAYMENT,,POSTED
R75149_MISSING,2026-03-01T19:00:00Z,A22A,USD,-724,REVERSAL,T_MISSING_199,POSTED
T67579_2,2026-03-01T19:30:20Z,A70E,JPY,24413,ADJUSTMENT,,POSTED
T60281_0,2026-03-17T18:17:16Z,A12G,GBP,2150,PAYMENT,,POSTED
T11368_24,2026-03-07T13:19:18Z,A22A,USD,-16420,PAYMENT,,POSTED
R71762_T56844_11,2026-03-15T15:44:36Z,A74F,JPY,2236,REVERSAL,T56844_11,POSTED
R28986_T77985_30,2026-03-18T20:58:29Z,A70C,GBP,-4656,REVERSAL,T77985_30,POSTED
T90320_4,2026-02-25T11:28:25Z,A70E,JPY,19983,ADJUSTMENT,,POSTED
T71128_25,2026-03-05T12:24:28Z,A74F,JPY,-5469,CHARGE,,POSTED
T46057_18,2026-03-15T12:23:48Z,A22A,USD,550,REFUND,,POSTED
T67300_19,2026-03-01T07:19:45Z,A72B,JPY,20626,CHARGE,,POSTED
T21825_16,2026-03-12T12:20:04Z,A41D,EUR,-10350,ADJUSTMENT,,POSTED
R95391_T95261_5,2026-02-22T22:16:24Z,A70C,USD,-4017,REVERSAL,T95261_5,POSTED
R49128_T67579_2_DUP,2026-03-14T14:40:20Z,A41D,EUR,-4014,REVERSAL,T67579_2,POSTED
T95261_5,2026-02-26T13:05:36Z,A70C,GBP,-12260,PAYMENT,,POSTED
R95915_T67579_2,2026-03-14T06:40:20Z,A12G,EUR,-3223,REVERSAL,T67579_2,POSTED
T36866_6,2026-03-09T21:10:02Z,A70C,JPY,12102,REFUND,,POSTED
R50717_T15435_7,2026-03-07T04:09:39Z,A22A,GBP,-193,REVERSAL,T15435_7,POSTED
T56844_11,2026-02-26T08:19:04Z,A74F,JPY,21678,CHARGE,,POSTED
R95321_MISSING,2026-03-07T03:00:00Z,A41D,GBP,4627,REVERSAL,T_MISSING_144,POSTED
T90320_4,2026-02-23T23:21:25Z,A70E,JPY,22591,ADJUSTMENT,,POSTED
T27168_3,2026-03-11T19:21:21Z,A12G,GBP,-13251,PAYMENT,,VOID
T90320_4,2026-02-25T08:51:25Z,A70E,JPY,15432,ADJUSTMENT,,POSTED
T17711_23,2026-03-01T04:58:08Z,A74F,GBP,8124,ADJUSTMENT,,POSTED
R72424_MISSING,2026-03-17T15:00:00Z,A74F,JPY,-795,REVERSAL,T_MISSING_529,POSTED
T25508_9,2026-03-01T14:47:29Z,A41D,JPY,23180,CHARGE,,POSTED
T71475_20,2026-03-09T20:04:28Z,A41D,GBP,-22711,CHARGE,,POSTED
T57131_14,2026-03-09T01:07:07Z,A12G,JPY,8670,PAYMENT,,POSTED
T80580_28,2026-03-12T13:12:07Z,A72B,JPY,22304,ADJUSTMENT,,POSTED
R88992_T58408_31,2026-03-15T06:31:24Z,A22A,EUR,2203,REVERSAL,T58408_31,POSTED
T43194_21,2026-03-05T07:33:09Z,A74F,USD,14299,CHARGE,,POSTED
T58408_31,2026-03-01T11:34:49Z,A12G,EUR,-6510,CHARGE,,POSTED
T56844_11,2026-02-26T20:20:04Z,A74F,JPY,20089,CHARGE,,POSTED
T94978_13,2026-02-26T03:24:41Z,A74F,EUR,-15310,CHARGE,,VOID
T27168_3,2026-03-11T22:06:21Z,A12G,GBP,-15700,PAYMENT,,VOID
T37361_15,2026-02-25T07:24:58Z,A70C,JPY,-6298,CHARGE,,POSTED
T11424_12,2026-02-23T14:40:30Z,A70C,USD,-7730,CHARGE,,POSTED
