date,currency,usd_per_unit
2026-02-17,EUR,0.965715
2026-02-20,EUR,1.145115
2026-02-23,EUR,0.986555
2026-02-28,EUR,0.953949
2026-03-06,EUR,1.079452
2026-03-07,EUR,1.112586
2026-02-15,GBP,1.381469
2026-02-22,GBP,1.284588
2026-02-25,GBP,1.288702
2026-02-26,GBP,1.154662
2026-02-27,GBP,1.299946
2026-02-28,GBP,1.344645
2026-03-02,GBP,1.364179
2026-03-07,GBP,1.306618
2026-03-08,GBP,1.190659
2026-02-16,JPY,0.006515
2026-02-18,JPY,0.010353
2026-02-19,JPY,0.008224
2026-02-23,JPY,0.008446
2026-02-25,JPY,0.009544
2026-03-03,JPY,0.008779
2026-02-21,USD,1.000000
2026-02-22,USD,1.000000
2026-02-24,USD,1.000000
2026-02-25,USD,1.000000
2026-03-03,USD,1.000000
2026-03-05,USD,1.000000
2026-03-08,USD,1.000000
