date,currency,usd_per_unit
2026-01-10,EUR,1.121588
2026-01-16,EUR,1.095108
2026-01-18,EUR,1.059558
2026-01-21,EUR,0.988282
2026-01-26,EUR,1.009855
2026-01-11,GBP,1.301892
2026-01-15,GBP,1.257215
2026-01-17,GBP,1.216769
2026-01-21,GBP,1.286725
2026-01-22,GBP,1.154914
2026-01-24,GBP,1.182042
2026-02-01,GBP,1.206755
2026-02-02,GBP,1.393198
2026-02-04,GBP,1.286168
2026-01-10,JPY,0.008999
2026-01-14,JPY,0.007469
2026-01-16,JPY,0.007323
2026-01-27,JPY,0.006730
2026-02-03,JPY,0.007329
2026-02-04,JPY,0.008049
2026-01-10,USD,1.000000
2026-01-11,USD,1.000000
2026-01-13,USD,1.000000
2026-01-20,USD,1.000000
2026-01-23,USD,1.000000
2026-01-28,USD,1.000000
