date,currency,usd_per_unit
2026-03-16,EUR,1.061022
2026-04-02,EUR,1.124285
2026-04-04,EUR,1.127045
2026-03-15,GBP,1.191096
2026-03-18,GBP,1.344463
2026-03-19,GBP,1.338794
2026-03-21,GBP,1.229226
2026-03-23,GBP,1.206844
2026-03-25,GBP,1.247953
2026-03-27,GBP,1.366848
2026-03-31,GBP,1.382547
2026-04-01,GBP,1.164179
2026-04-05,GBP,1.393715
2026-03-11,JPY,0.006585
2026-03-15,JPY,0.008470
2026-03-17,JPY,0.008493
2026-03-19,JPY,0.007887
2026-03-28,JPY,0.006806
2026-03-29,JPY,0.006549
2026-03-11,USD,1.000000
2026-03-17,USD,1.000000
2026-03-19,USD,1.000000
2026-03-20,USD,1.000000
2026-03-28,USD,1.000000
2026-03-31,USD,1.000000
2026-04-05,USD,1.000000
