txn_id,posted_at,account_id,currency,amount_minor,type,ref_txn_id,status
R94077_T51580_7_DUP,2026-01-10T20:43:19Z,A12E,JPY,4203,REVERSAL,T51580_7,POSTED
T55563_5,2026-01-05T13:05:11Z,A35J,GBP,-14730,ADJUSTMENT,,POSTED
T38933_11,2026-01-26T11:54:44Z,A88H,USD,9600,PAYMENT,,POSTED
T65384_17,2026-01-02T02:04:13Z,A34F,USD,-910,PAYMENT,,POSTED
T48540_14,2026-01-16T14:31:36Z,A17A,EUR,19530,REFUND,,POSTED
T51580_7,2026-01-14T22:19:38Z,A80G,GBP,-1780,CHARGE,,POSTED
T20486_29,2026-01-08T15:02:49Z,A34F,JPY,-24263,PAYMENT,,POSTED
T13334_4,2026-01-22T15:20:53Z,A34F,USD,7150,PAYMENT,,POSTED
T98253_16,2026-01-21T04:47:12Z,A17A,GBP,-24030,PAYMENT,,POSTED
R81490_MISSING,2026-01-16T09:00:00Z,A35J,JPY,-4960,REVERSAL,T_MISSING_920,POSTED
R78692_T50081_27,2026-01-22T07:40:30Z,A35J,EUR,4964,REVERSAL,T50081_27,POSTED
R38568_T65159_20,2026-01-21T15:29:39Z,A83C,USD,-3785,REVERSAL,T65159_20,POSTED
R16465_MISSING,2026-01-16T20:00:00Z,A83C,JPY,103,REVERSAL,T_MISSING_398,POSTED
T27071_8,2026-01-07T11:53:55Z,A80G,GBP,-18470,ADJUSTMENT,,VOID
T26440_15,2026-01-24T19:11:02Z,A34F,GBP,10850,CHARGE,,POSTED
T17166_6,2026-01-25T04:21:30Z,A95B,USD,12020,PAYMENT,,POSTED
T70009_13,2026-01-13T13:31:00Z,A88H,JPY,-18841,ADJUSTMENT,,POSTED
T13029_1,2026-01-23T15:03:59Z,A95B,GBP,9460,REFUND,,POSTED
T20120_3,2026-01-26T15:09:49Z,A80G,JPY,-5994,CHARGE,,POSTED
T48540_14,2026-01-15T14:45:36Z,A17A,EUR,20474,REFUND,,POSTED
T18550_22,2026-01-15T00:30:33Z,A73I,EUR,-8870,CHARGE,,POSTED
T13334_4,2026-01-21T15:39:53Z,A34F,USD,10540,PAYMENT,,VOID
T13396_24,2026-01-17T05:30:39Z,A73I,GBP,8560,CHARGE,,POSTED
T89393_26,2026-01-08T19:06:47Z,A17A,GBP,-20220,ADJUSTMENT,,POSTED
T57028_23,2026-01-09T16:36:05Z,A35J,USD,9680,PAYMENT,,POSTED
R59799_T51580_7,2026-01-10T03:43:19Z,A80G,USD,-3382,REVERSAL,T51580_7,POSTED
R16357_MISSING,2026-01-15T18:00:00Z,A95B,GBP,4652,REVERSAL,T_MISSING_91,POSTED
T65159_20,2026-01-05T01:26:28Z,A34F,GBP,20840,CHARGE,,POSTED
T80810_12,2026-01-26T22:19:06Z,A73I,EUR,26836,CHARGE,,POSTED
T13334_4,2026-01-22T17:29:53Z,A34F,USD,11472,PAYMENT,,POSTED
T84842_19,2026-01-08T16:34:48Z,A34F,USD,-21030,ADJUSTMENT,,POSTED
T64500_2,2026-01-12T16:51:52Z,A95B,USD,1400,ADJUSTMENT,,POSTED
T89393_26,2026-01-06T19:09:47Z,A17A,GBP,-17085,ADJUSTMENT,,POSTED
T86606_21,2026-01-23T13:36:12Z,A34F,EUR,-26522,REFUND,,VOID
R67731_T65159_20_DUP,2026-01-21T17:29:39Z,A34F,EUR,3369,REVERSAL,T65159_20,POSTED
R47606_T86606_21_DUP,2026-01-26T14:21:24Z,A95B,EUR,-1076,REVERSAL,T86606_21,POSTED
R73492_T48540_14,2026-01-09T23:59:06Z,A83C,USD,4249,REVERSAL,T48540_14,POSTED
T77717_25,2026-01-19T18:52:10Z,A73I,EUR,-6460,PAYMENT,,POSTED
T51683_10,2026-01-16T11:45:40Z,A17A,JPY,-18694,PAYMENT,,POSTED
T77717_25,2026-01-19T20:52:10Z,A73I,EUR,-4841,PAYMENT,,VOID
R14666_T13396_24,2026-01-23T04:03:59Z,A83C,EUR,901,REVERSAL,T13396_24,POSTED
T84842_19,2026-01-10T04:53:48Z,A34F,USD,-20022,ADJUSTMENT,,POSTED
T80810_12,2026-01-25T10:08:06Z,A73I,EUR,24710,CHARGE,,VOID
T50081_27,2026-01-05T18:39:59Z,A12E,USD,-18400,REFUND,,POSTED
T47493_28,2026-01-10T21:58:38Z,A34F,JPY,-16093,ADJUSTMENT,,POSTED
T86606_21,2026-01-22T01:15:12Z,A34F,EUR,-22410,REFUND,,POSTED
T47308_9,2026-01-06T00:20:35Z,A59D,GBP,-280,CHARGE,,POSTED
T11747_18,2026-01-07T10:53:41Z,A88H,EUR,11580,CHARGE,,POSTED
T25574_0,2026-01-05T04:21:15Z,A35J,GBP,-24410,CHARGE,,POSTED
R93425_T86606_21,2026-01-25T20:21:24Z,A59D,USD,-1763,REVERSAL,T86606_21,POSTED
T70009_13,2026-01-13T15:36:00Z,A88H,JPY,-21008,ADJUSTMENT,,POSTED
R40231_T50081_27_DUP,2026-01-23T18:40:30Z,A59D,JPY,2117,REVERSAL,T50081_27,POSTED
