date,currency,usd_per_unit
2026-01-05,EUR,1.072792
2026-01-06,EUR,1.105330
2026-01-10,EUR,1.061173
2026-01-11,EUR,1.037566
2026-01-12,EUR,1.076085
2026-01-14,EUR,1.043648
2026-01-18,EUR,1.074059
2026-01-20,EUR,1.024996
2026-01-21,EUR,1.146856
2026-01-23,EUR,1.037040
2026-01-03,GBP,1.324448
2026-01-13,GBP,1.259881
2026-01-14,GBP,1.202250
2026-01-02,JPY,0.007384
2026-01-06,JPY,0.010494
2026-01-10,JPY,0.009952
2026-01-15,JPY,0.009217
2026-01-18,JPY,0.010244
2026-01-19,JPY,0.007561
2026-01-22,JPY,0.008570
2026-01-23,JPY,0.009922
2026-01-11,USD,1.000000
2026-01-16,USD,1.000000
2026-01-17,USD,1.000000
2026-01-20,USD,1.000000
2026-01-22,USD,1.000000
2026-01-23,USD,1.000000
