date,currency,usd_per_unit
2026-03-04,EUR,1.106605
2026-03-06,EUR,1.002003
2026-03-07,EUR,1.110557
2026-03-10,EUR,1.091204
2026-03-16,EUR,0.973846
2026-03-21,EUR,1.079683
2026-03-04,GBP,1.193139
2026-03-05,GBP,1.171621
2026-03-07,GBP,1.396875
2026-03-09,GBP,1.331711
2026-03-12,GBP,1.229154
2026-03-22,GBP,1.269678
2026-03-26,GBP,1.171397
2026-03-29,GBP,1.225418
2026-03-04,JPY,0.007121
2026-03-05,JPY,0.007548
2026-03-10,JPY,0.010387
2026-03-14,JPY,0.006898
2026-03-16,JPY,0.006337
2026-03-18,JPY,0.010021
2026-03-20,JPY,0.009004
2026-03-23,JPY,0.006927
2026-03-26,JPY,0.009875
2026-03-09,USD,1.000000
2026-03-14,USD,1.000000
2026-03-15,USD,1.000000
2026-03-18,USD,1.000000
2026-03-20,USD,1.000000
2026-03-22,USD,1.000000
