date,currency,usd_per_unit
2026-01-17,EUR,1.101753
2026-01-18,EUR,1.046252
2026-01-26,EUR,0.983759
2026-01-28,EUR,1.121950
2026-02-08,EUR,0.994275
2026-01-20,GBP,1.162540
2026-01-23,GBP,1.237523
2026-01-30,GBP,1.371409
2026-02-03,GBP,1.202000
2026-02-06,GBP,1.225869
2026-02-09,GBP,1.334988
2026-01-16,JPY,0.006344
2026-01-20,JPY,0.008801
2026-01-21,JPY,0.008013
2026-01-27,JPY,0.006697
2026-01-28,JPY,0.008894
2026-01-29,JPY,0.010398
2026-02-02,JPY,0.006192
2026-02-03,JPY,0.008840
2026-01-16,USD,1.000000
2026-01-18,USD,1.000000
2026-01-21,USD,1.000000
2026-01-26,USD,1.000000
2026-01-27,USD,1.000000
2026-02-02,USD,1.000000
2026-02-08,USD,1.000000
2026-02-09,USD,1.000000
