txn_id,posted_at,account_id,currency,amount_minor,type,ref_txn_id,status
R12894_T80100_24,2026-03-15T08:33:26Z,A24B,EUR,-3178,REVERSAL,T80100_24,POSTED
T99459_4,2026-03-18T04:39:58Z,A24B,USD,-11200,CHARGE,,POSTED
R47725_T99459_4,2026-03-29T07:50:50Z,A19D,GBP,567,REVERSAL,T99459_4,POSTED
T21339_2,2026-03-23T06:06:02Z,A24B,JPY,22147,PAYMENT,,POSTED
T68802_14,2026-03-12T06:42:42Z,A90F,JPY,-6449,CHARGE,,POSTED
T46629_25,2026-03-21T17:25:49Z,A19D,EUR,5320,CHARGE,,POSTED
T78858_16,2026-03-29T10:26:24Z,A80G,GBP,11520,REFUND,,POSTED
T11781_7,2026-03-26T10:26:02Z,A80G,EUR,-2720,PAYMENT,,POSTED
T14074_28,2026-04-01T16:42:02Z,A23E,USD,4340,PAYMENT,,POSTED
R27805_T94311_39,2026-03-29T23:47:01Z,A19D,GBP,382,REVERSAL,T94311_39,POSTED
T58839_22,2026-03-31T23:48:11Z,A90F,JPY,-19433,ADJUSTMENT,,POSTED
T80100_24,2026-03-12T17:56:29Z,A19D,USD,22350,REFUND,,POSTED
R82456_MISSING,2026-03-15T23:00:00Z,A90F,JPY,-4368,REVERSAL,T_MISSING_853,POSTED
R42472_T94311_39_DUP,2026-03-31T13:47:01Z,A80G,GBP,393,REVERSAL,T94311_39,POSTED
T98121_29,2026-03-31T12:58:24Z,A49C,GBP,-3560,PAYMENT,,POSTED
R77662_T37854_32,2026-03-26T20:32:48Z,A19D,GBP,-3407,REVERSAL,T37854_32,POSTED
T97971_31,2026-03-16T21:59:36Z,A90F,EUR,-1900,PAYMENT,,POSTED
T92879_19,2026-03-21T05:37:43Z,A60A,EUR,7840,PAYMENT,,POSTED
T37103_34,2026-03-25T22:14:37Z,A80G,USD,-16270,PAYMENT,,POSTED
T24363_1,2026-03-29T02:15:54Z,A90F,USD,-2370,PAYMENT,,VOID
T72573_23,2026-03-20T01:38:56Z,A80G,GBP,-8220,PAYMENT,,POSTED
T22493_6,2026-03-22T07:25:58Z,A90F,JPY,-7998,PAYMENT,,POSTED
R40557_T98121_29,2026-03-09T06:16:35Z,A60A,EUR,2177,REVERSAL,T98121_29,POSTED
T37854_32,2026-03-19T13:00:18Z,A60A,EUR,7560,ADJUSTMENT,,POSTED
T94311_39,2026-03-14T23:58:43Z,A80G,JPY,-5479,REFUND,,POSTED
T89532_18,2026-03-14T15:50:03Z,A23E,GBP,9090,ADJUSTMENT,,POSTED
R18123_T46629_25,2026-03-31T03:14:44Z,A24B,JPY,286,REVERSAL,T46629_25,POSTED
T50005_30,2026-03-29T12:42:50Z,A60A,JPY,6582,ADJUSTMENT,,POSTED
T37861_13,2026-03-14T16:29:36Z,A60A,JPY,-17164,PAYMENT,,POSTED
T41823_36,2026-03-23T19:44:13Z,A24B,JPY,-24559,REFUND,,POSTED
