date,currency,usd_per_unit
2026-03-13,EUR,0.974646
2026-03-14,EUR,1.148779
2026-03-21,EUR,0.953900
2026-03-25,EUR,1.000986
2026-03-28,EUR,1.113313
2026-03-30,EUR,0.981432
2026-04-02,EUR,0.980250
2026-03-09,GBP,1.325318
2026-03-11,GBP,1.349624
2026-03-12,GBP,1.211493
2026-03-20,GBP,1.265949
2026-03-21,GBP,1.292305
2026-03-27,GBP,1.164006
2026-03-14,JPY,0.006620
2026-03-16,JPY,0.010220
2026-03-20,JPY,0.007330
2026-03-21,JPY,0.007665
2026-03-26,JPY,0.007095
2026-03-29,JPY,0.007196
2026-04-02,JPY,0.009202
2026-04-03,JPY,0.008149
2026-03-11,USD,1.000000
2026-03-21,USD,1.000000
2026-03-22,USD,1.000000
2026-03-26,USD,1.000000
2026-04-01,USD,1.000000
2026-04-03,USD,1.000000
