date,currency,usd_per_unit
2026-02-15,EUR,1.087826
2026-02-19,EUR,1.040812
2026-02-25,EUR,0.969001
2026-02-27,EUR,0.999260
2026-03-07,EUR,1.103417
2026-03-12,EUR,1.128689
2026-02-15,GBP,1.294076
2026-02-21,GBP,1.309644
2026-02-25,GBP,1.372559
2026-02-26,GBP,1.332379
2026-03-02,GBP,1.197183
2026-03-08,GBP,1.327938
2026-02-16,JPY,0.008868
2026-02-17,JPY,0.007518
2026-02-18,JPY,0.007065
2026-02-22,JPY,0.010103
2026-02-28,JPY,0.009003
2026-03-08,JPY,0.006771
2026-03-09,JPY,0.010476
2026-03-11,JPY,0.008729
2026-02-16,USD,1.000000
2026-02-26,USD,1.000000
2026-02-27,USD,1.000000
2026-03-01,USD,1.000000
2026-03-06,USD,1.000000
2026-03-08,USD,1.000000
2026-03-10,USD,1.000000
2026-03-12,USD,1.000000
