date,currency,usd_per_unit
2026-01-29,EUR,1.094506
2026-02-05,EUR,1.074749
2026-02-11,EUR,0.984536
2026-02-17,EUR,1.092476
2026-02-19,EUR,0.961916
2026-01-29,GBP,1.279808
2026-02-01,GBP,1.244556
2026-02-03,GBP,1.307090
2026-02-06,GBP,1.350719
2026-02-10,GBP,1.159222
2026-02-14,GBP,1.328565
2026-02-18,GBP,1.320041
2026-02-21,GBP,1.180171
2026-02-01,JPY,0.010190
2026-02-02,JPY,0.007198
2026-02-11,JPY,0.006036
2026-02-13,JPY,0.009001
2026-02-20,JPY,0.006073
2026-01-31,USD,1.000000
2026-02-03,USD,1.000000
2026-02-13,USD,1.000000
2026-02-14,USD,1.000000
2026-02-21,USD,1.000000
