date,currency,usd_per_unit
2026-01-06,EUR,0.983698
2026-01-11,EUR,1.088158
2026-01-12,EUR,1.140006
2026-01-13,EUR,1.003910
2026-01-17,EUR,1.019691
2026-01-25,EUR,0.979768
2026-01-26,EUR,0.953229
2026-01-06,GBP,1.387143
2026-01-09,GBP,1.205836
2026-01-11,GBP,1.246041
2026-01-17,GBP,1.222259
2026-01-19,GBP,1.252315
2026-01-22,GBP,1.193026
2026-01-07,JPY,0.007843
2026-01-08,JPY,0.010414
2026-01-11,JPY,0.006052
2026-01-16,JPY,0.008902
2026-01-17,JPY,0.006922
2026-01-26,JPY,0.009862
2026-01-27,JPY,0.007093
2026-01-28,JPY,0.006625
2026-01-13,USD,1.000000
2026-01-19,USD,1.000000
2026-01-22,USD,1.000000
2026-01-23,USD,1.000000
2026-01-29,USD,1.000000
