date,currency,usd_per_unit
2026-01-10,EUR,1.104403
2026-01-13,EUR,1.007051
2026-01-16,EUR,1.110252
2026-01-20,EUR,1.123570
2026-01-29,EUR,1.030295
2026-01-30,EUR,1.086536
2026-02-03,EUR,1.004738
2026-01-09,GBP,1.173796
2026-01-15,GBP,1.294125
2026-01-18,GBP,1.154675
2026-01-22,GBP,1.284521
2026-01-27,GBP,1.398679
2026-01-28,GBP,1.394520
2026-01-16,JPY,0.007658
2026-01-17,JPY,0.009026
2026-01-21,JPY,0.006064
2026-01-22,JPY,0.006388
2026-01-23,JPY,0.006846
2026-01-27,JPY,0.007209
2026-02-02,JPY,0.007560
2026-01-10,USD,1.000000
2026-01-15,USD,1.000000
2026-01-18,USD,1.000000
2026-01-24,USD,1.000000
