date,currency,usd_per_unit
2026-03-19,EUR,1.018098
2026-03-21,EUR,1.142948
2026-03-23,EUR,1.058027
2026-03-26,EUR,1.015267
2026-03-30,EUR,1.050269
2026-04-03,EUR,0.974334
2026-04-05,EUR,1.094177
2026-04-08,EUR,0.994926
2026-04-12,EUR,1.091441
2026-03-19,GBP,1.178322
2026-03-20,GBP,1.191802
2026-03-21,GBP,1.255041
2026-03-22,GBP,1.270684
2026-03-23,GBP,1.390956
2026-03-24,GBP,1.216143
2026-03-26,GBP,1.320354
2026-04-09,GBP,1.267120
2026-04-11,GBP,1.369896
2026-03-26,JPY,0.007608
2026-03-28,JPY,0.010361
2026-03-30,JPY,0.010238
2026-03-31,JPY,0.008363
2026-04-02,JPY,0.008265
2026-04-08,JPY,0.006990
2026-04-10,JPY,0.008021
2026-03-23,USD,1.000000
2026-03-28,USD,1.000000
2026-03-31,USD,1.000000
2026-04-02,USD,1.000000
2026-04-04,USD,1.000000
2026-04-09,USD,1.000000
2026-04-10,USD,1.000000
2026-04-13,USD,1.000000
