txn_id,posted_at,account_id,currency,amount_minor,type,ref_txn_id,status
R70210_MISSING,2026-03-19T09:00:00Z,A82D,USD,1234,REVERSAL,T_MISSING_819,POSTED
T55422_13,2026-03-23T02:49:06Z,A75F,USD,-5470,REFUND,,POSTED
T37415_14,2026-03-21T15:26:11Z,A95H,EUR,-17032,REFUND,,VOID
R95204_T32404_17,2026-04-06T11:33:57Z,A82D,EUR,-4169,REVERSAL,T32404_17,POSTED
T73055_25,2026-03-20T00:21:16Z,A49A,USD,-2770,PAYMENT,,POSTED
T92758_18,2026-04-09T15:42:30Z,A82D,USD,5460,PAYMENT,,POSTED
R23722_T92758_18,2026-03-28T01:09:31Z,A95H,EUR,-3542,REVERSAL,T92758_18,POSTED
T18152_3,2026-04-11T00:42:20Z,A69J,USD,-4730,ADJUSTMENT,,POSTED
T97808_24,2026-04-07T13:39:25Z,A13B,GBP,-10990,REFUND,,POSTED
T52061_15,2026-04-05T08:59:02Z,A24K,USD,-19405,PAYMENT,,VOID
T70811_11,2026-03-21T10:45:34Z,A49A,JPY,-3062,ADJUSTMENT,,VOID
T43191_0,2026-04-04T16:22:31Z,A12I,JPY,15318,PAYMENT,,POSTED
T52061_15,2026-04-05T23:46:02Z,A24K,USD,-19391,PAYMENT,,POSTED
T32604_26,2026-03-27T08:09:57Z,A49A,EUR,-4840,REFUND,,POSTED
T90520_28,2026-03-30T08:11:26Z,A69J,GBP,-21040,ADJUSTMENT,,POSTED
T98238_23,2026-04-08T16:20:09Z,A12I,USD,23360,CHARGE,,POSTED
T56390_9,2026-04-11T12:53:36Z,A61C,USD,20200,CHARGE,,POSTED
R84749_T19821_22,2026-03-19T02:25:30Z,A49A,EUR,3413,REVERSAL,T19821_22,POSTED
T50486_34,2026-03-26T23:39:04Z,A75F,USD,-14750,REFUND,,VOID
T50543_29,2026-03-24T05:40:17Z,A61C,EUR,-7220,REFUND,,POSTED
T21506_8,2026-04-04T07:29:24Z,A12I,JPY,22350,PAYMENT,,POSTED
R64769_T32404_17_DUP,2026-04-07T21:33:57Z,A75F,JPY,642,REVERSAL,T32404_17,POSTED
T15439_2,2026-03-20T09:24:27Z,A24K,EUR,6130,CHARGE,,POSTED
T19821_22,2026-04-11T23:19:35Z,A82D,EUR,-23760,CHARGE,,POSTED
R36378_T19821_22_DUP,2026-03-19T21:25:30Z,A95H,USD,-458,REVERSAL,T19821_22,POSTED
T36773_4,2026-04-10T00:23:08Z,A82D,JPY,-21229,ADJUSTMENT,,POSTED
T50543_29,2026-03-24T08:06:17Z,A61C,EUR,-3866,REFUND,,VOID
T82755_27,2026-04-07T23:31:24Z,A49A,EUR,-17260,PAYMENT,,POSTED
T51507_21,2026-03-19T09:09:31Z,A61C,GBP,-4680,ADJUSTMENT,,POSTED
T81307_7,2026-04-02T11:41:10Z,A49A,GBP,-7550,PAYMENT,,VOID
T86422_16,2026-04-10T14:28:50Z,A12I,GBP,3050,PAYMENT,,VOID
R33171_MISSING,2026-04-01T00:00:00Z,A63E,EUR,958,REVERSAL,T_MISSING_760,POSTED
R77196_MISSING,2026-04-12T14:00:00Z,A69J,EUR,-4983,REVERSAL,T_MISSING_477,POSTED
R39757_T55422_13_DUP,2026-03-31T11:37:55Z,A24K,USD,-1173,REVERSAL,T55422_13,POSTED
T18279_19,2026-03-30T12:31:50Z,A69J,JPY,16732,CHARGE,,POSTED
T52216_30,2026-03-23T07:25:26Z,A63E,GBP,-2670,REFUND,,POSTED
T12219_31,2026-03-27T09:19:33Z,A69J,GBP,-12720,PAYMENT,,POSTED
R94806_T70811_11,2026-04-03T09:42:22Z,A29G,GBP,3596,REVERSAL,T70811_11,POSTED
T86422_16,2026-04-12T02:46:50Z,A12I,GBP,2303,PAYMENT,,POSTED
T81307_7,2026-03-31T12:00:10Z,A49A,GBP,-4006,PAYMENT,,POSTED
T47530_6,2026-04-09T11:27:12Z,A29G,JPY,19997,CHARGE,,VOID
T28770_20,2026-03-23T10:14:31Z,A24K,EUR,18580,PAYMENT,,POSTED
T70811_11,2026-03-21T13:31:34Z,A49A,JPY,884,ADJUSTMENT,,POSTED
T52061_15,2026-04-05T11:36:02Z,A24K,USD,-21730,PAYMENT,,POSTED
T37415_14,2026-03-21T12:58:11Z,A95H,EUR,-13180,REFUND,,POSTED
R86394_T82755_27,2026-03-31T01:54:31Z,A63E,JPY,-560,REVERSAL,T82755_27,POSTED
T85928_5,2026-04-03T09:29:35Z,A12I,JPY,-20852,REFUND,,POSTED
T84014_32,2026-04-07T05:31:52Z,A69J,USD,9970,ADJUSTMENT,,POSTED
R36114_T82755_27_DUP,2026-03-31T18:54:31Z,A61C,JPY,-1266,REVERSAL,T82755_27,POSTED
R38763_T90520_28,2026-04-10T13:04:56Z,A61C,JPY,-1742,REVERSAL,T90520_28,POSTED
R96950_T56390_9_DUP,2026-04-08T18:20:52Z,A63E,GBP,-4052,REVERSAL,T56390_9,POSTED
T17506_35,2026-03-19T09:05:04Z,A95H,GBP,-7100,PAYMENT,,POSTED
R37599_T56390_9,2026-04-07T05:20:52Z,A75F,EUR,-4922,REVERSAL,T56390_9,POSTED
R36929_T51507_21_DUP,2026-04-07T02:05:22Z,A49A,USD,4664,REVERSAL,T51507_21,POSTED
T52061_15,2026-04-05T06:21:02Z,A24K,USD,-24291,PAYMENT,,POSTED
T32404_17,2026-03-22T21:48:49Z,A82D,GBP,-6780,ADJUSTMENT,,VOID
T21084_10,2026-03-29T04:10:47Z,A95H,EUR,-4950,CHARGE,,POSTED
R93702_T55422_13,2026-03-30T21:37:55Z,A13B,USD,759,REVERSAL,T55422_13,POSTED
T52061_15,2026-04-05T11:29:02Z,A24K,USD,-17158,PAYMENT,,POSTED
R13307_T51507_21,2026-04-06T18:05:22Z,A12I,GBP,-2120,REVERSAL,T51507_21,POSTED
T40370_33,2026-03-21T08:09:28Z,A12I,GBP,-2670,CHARGE,,POSTED
T52061_15,2026-04-06T01:49:02Z,A24K,USD,-17076,PAYMENT,,POSTED
T38826_1,2026-04-12T07:12:19Z,A24K,JPY,9197,ADJUSTMENT,,POSTED
T52342_36,2026-04-10T18:48:15Z,A69J,GBP,8110,REFUND,,POSTED
T78953_12,2026-04-01T16:39:19Z,A69J,GBP,-21030,PAYMENT,,POSTED
