date,currency,usd_per_unit
2026-03-14,EUR,1.023139
2026-03-20,EUR,1.120112
2026-03-21,EUR,1.146091
2026-03-25,EUR,0.967870
2026-03-29,EUR,0.979646
2026-03-30,EUR,1.116442
2026-04-05,EUR,1.119481
2026-04-06,EUR,1.060800
2026-03-12,GBP,1.383215
2026-03-26,GBP,1.367327
2026-03-27,GBP,1.313978
2026-03-29,GBP,1.394727
2026-03-31,GBP,1.385303
2026-04-02,GBP,1.352139
2026-04-03,GBP,1.174942
2026-04-06,GBP,1.213661
2026-03-14,JPY,0.006153
2026-03-20,JPY,0.008968
2026-03-21,JPY,0.007489
2026-03-22,JPY,0.009552
2026-03-26,JPY,0.009393
2026-03-28,JPY,0.010322
2026-04-01,JPY,0.009509
2026-03-12,USD,1.000000
2026-03-16,USD,1.000000
2026-03-23,USD,1.000000
2026-04-03,USD,1.000000
2026-04-06,USD,1.000000
